2025-01-24 20:04:45.372 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'JSON makes life easier.', 'author': 'Alice'}
2025-01-24 20:04:45.372 | INFO     | __main__:process_message:95 - Message received from author: Alice
2025-01-24 20:04:45.372 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 3, 'Alice': 4, 'Charlie': 1, 'Diana': 2}
2025-01-24 20:04:45.373 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Data engineering is my passion.', 'author': 'Diana'}
2025-01-24 20:04:45.373 | INFO     | __main__:process_message:95 - Message received from author: Diana
2025-01-24 20:04:45.373 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 3, 'Alice': 4, 'Charlie': 1, 'Diana': 3}
2025-01-24 20:04:45.373 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'JSON makes life easier.', 'author': 'Diana'}
2025-01-24 20:04:45.373 | INFO     | __main__:process_message:95 - Message received from author: Diana
2025-01-24 20:04:45.374 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 3, 'Alice': 4, 'Charlie': 1, 'Diana': 4}
2025-01-24 20:04:46.118 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Charlie'}
2025-01-24 20:04:46.120 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Kafka is awesome.', 'author': 'Charlie'}
2025-01-24 20:04:46.121 | INFO     | __main__:process_message:95 - Message received from author: Charlie
2025-01-24 20:04:46.121 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 3, 'Alice': 4, 'Charlie': 2, 'Diana': 4}
2025-01-24 20:04:47.119 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Bob'}
2025-01-24 20:04:47.121 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'JSON makes life easier.', 'author': 'Bob'}
2025-01-24 20:04:47.121 | INFO     | __main__:process_message:95 - Message received from author: Bob
2025-01-24 20:04:47.122 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 3, 'Alice': 4, 'Charlie': 2, 'Diana': 4, 'Bob': 1}
2025-01-24 20:04:48.120 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Bob'}
2025-01-24 20:04:48.123 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'I love Python!', 'author': 'Bob'}
2025-01-24 20:04:48.123 | INFO     | __main__:process_message:95 - Message received from author: Bob
2025-01-24 20:04:48.123 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 3, 'Alice': 4, 'Charlie': 2, 'Diana': 4, 'Bob': 2}
2025-01-24 20:04:49.121 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve'}
